nome_atual,novo_nome
COR 01 - D   001.jpg,10448 - TAPETE KINGDOM 01 100X140.jpg
COR 01 - D   001.jpg,10449 - TAPETE KINGDOM 01 140X200.jpg
COR 01 - D   001.jpg,10450 - TAPETE KINGDOM 01 200X250.jpg
COR 01 - D   001.jpg,10451 - TAPETE KINGDOM 01 200X300.jpg
COR 01 - D   001.jpg,10452 - TAPETE KINGDOM 01 300X400.jpg
COR 01 - D  00001.jpg,10448 - TAPETE KINGDOM 01 100X140.jpg
COR 01 - D  00001.jpg,10449 - TAPETE KINGDOM 01 140X200.jpg
COR 01 - D  00001.jpg,10450 - TAPETE KINGDOM 01 200X250.jpg
COR 01 - D  00001.jpg,10451 - TAPETE KINGDOM 01 200X300.jpg
COR 01 - D  00001.jpg,10452 - TAPETE KINGDOM 01 300X400.jpg
COR 01 - D  0001.jpg,10448 - TAPETE KINGDOM 01 100X140.jpg
COR 01 - D  0001.jpg,10449 - TAPETE KINGDOM 01 140X200.jpg
COR 01 - D  0001.jpg,10450 - TAPETE KINGDOM 01 200X250.jpg
COR 01 - D  0001.jpg,10451 - TAPETE KINGDOM 01 200X300.jpg
COR 01 - D  0001.jpg,10452 - TAPETE KINGDOM 01 300X400.jpg
COR 01 - D  01.jpg,10448 - TAPETE KINGDOM 01 100X140.jpg
COR 01 - D  01.jpg,10449 - TAPETE KINGDOM 01 140X200.jpg
COR 01 - D  01.jpg,10450 - TAPETE KINGDOM 01 200X250.jpg
COR 01 - D  01.jpg,10451 - TAPETE KINGDOM 01 200X300.jpg
COR 01 - D  01.jpg,10452 - TAPETE KINGDOM 01 300X400.jpg
COR 01 - D  1.jpg,10448 - TAPETE KINGDOM 01 100X140.jpg
COR 01 - D  1.jpg,10449 - TAPETE KINGDOM 01 140X200.jpg
COR 01 - D  1.jpg,10450 - TAPETE KINGDOM 01 200X250.jpg
COR 01 - D  1.jpg,10451 - TAPETE KINGDOM 01 200X300.jpg
COR 01 - D  1.jpg,10452 - TAPETE KINGDOM 01 300X400.jpg
COR 01 - D  1r.jpg,10448 - TAPETE KINGDOM 01 100X140.jpg
COR 01 - D  1r.jpg,10449 - TAPETE KINGDOM 01 140X200.jpg
COR 01 - D  1r.jpg,10450 - TAPETE KINGDOM 01 200X250.jpg
COR 01 - D  1r.jpg,10451 - TAPETE KINGDOM 01 200X300.jpg
COR 01 - D  1r.jpg,10452 - TAPETE KINGDOM 01 300X400.jpg
COR 02 - E 00003.jpg,10453 - TAPETE KINGDOM 02 100X140.jpg
COR 02 - E 00003.jpg,10454 - TAPETE KINGDOM 02 140X200.jpg
COR 02 - E 00003.jpg,10455 - TAPETE KINGDOM 02 200X250.jpg
COR 02 - E 00003.jpg,10456 - TAPETE KINGDOM 02 200X300.jpg
COR 02 - E 00003.jpg,10457 - TAPETE KINGDOM 02 300X400.jpg
COR 02 - E 0003.jpg,10453 - TAPETE KINGDOM 02 100X140.jpg
